प्रथमोऽध्याय,प्रथम+अध्याय
ओषधेरजातौ,ओषधे+अजातौ
प्रज्ञादिभ्यश्च,प्रज्ञादिभ्य+च
मृदस्तिकन,मृद+तिकन
हीयमानपापयोगाच्च,हीयमानपापयोगात+च
सपत्त्रनिष्पत्रादतिव्यथने,सपत्रनिष्पत्रात+अतिव्यथने
निष्कुलान्निष्कोषणे,निष्कुलात+निष्कोषणे
सुखप्रियादानुलोम्ये,सुखप्रियात+आनुलोम्ये
सत्यादशपथे,सत्यात+अशपथे
नञस्तत्पुरुषात्‌,नञ+तत्पुरुषात
अक्ष्णोऽदर्शनात्‌,अक्ष्ण+अदर्शनात
अवसमन्धेभ्यस्तमस,अवसमन्धेभ्य+तमस
अन्ववतप्ताद्रहस,अन्ववतप्तात+रहस
अनुगवमायामे,अनुगवम+आयामे
उपसर्गादध्वन,उपसर्गात+अध्वन
राजाऽहस्सखिभ्यष्टच्‌,राजाऽहस्सखिभ्य+टच
गोरतद्धितलुकि,गौ+अतद्धितलुकि
अग्राख्यायामुरस,अग्राख्यायाम+उरस
उपमानादप्राणिषु,उपमानात+अप्राणिषु
अर्धाच्च,अर्धात+च
द्वित्रिभ्यामञ्जले,द्वित्रिभ्याम+अञ्जले
कुमहद्भ्यामन्यतरस्याम्‌,कुमहद्‍भ्याम+अन्यतरस्याम
अनश्च,अन+च
नपुंसकादन्यतर्अस्याम,नपुंसकात+अन्यतरस्याम
अङ्गुलेर्दारुणि,अङ्‍गुले+दारुणि
उपसर्गाच्च,उपसर्गात+च
बहुप्रजाश्छन्दसि,बहुप्रजा+छन्दसि
द्विदण्ड्यादिभ्यश्च,द्विदण्ड्यादिभ्य+च
ऊधसोऽनङ,ऊधस+अनङ
धनुषश्च,धनुष+च
उपमानाच्च,उपमानात+च
अग्रान्तशुद्धशुभ्रवृषवराहेभ्यश्च,अग्रान्तशुद्धशुभ्रवृषवराहेभ्य+च
पूर्णाद्विभाषा,पूर्णात+विभाषा
नद्यृतश्च,नद्यृत+च
शेषाद्विभाषा,शेषात+विभाषा
ईयसश्च,ईयस+च
ऋतश्छन्दसि,ऋत+छन्दसि
निष्प्रवाणिश्च,निष्प्रवाणि+च
अजादेर्द्वितीयस्य,अजादे+द्वितीयस्य
पूर्वोऽभ्यास,पूर्व+अभ्यास
स्वापेश्चङि,स्वापे+चङि
प्रतेश्च,प्रते+च
विभाषाऽभ्यवपूर्वस्य,विभाषा+अभ्यवपूर्वस्य
लिड्यङोश्च,लिड्यङो+च
ज्यश्च,ज्य+च
व्यश्च,व्य+च
स्फुरतिस्फुलत्योर्घञि,स्फुरतिस्फुलत्यो+घञि
सिध्यतेरपारलौकिके,सिध्यते+अपारलौकिके
खिदेश्छन्दसि,खिदे+छन्दसि
चिस्फुरोर्णौ,चिस्फुरो+णौ
बिभेतेर्हेतुभये,बिभेते+हेतुभये
शीर्षंश्छन्दसि,शीर्षन+छन्दसि
वेरपृक्तस्य,वे+अपृक्तस्य
आङ्माङोश्च,आङ्माङो+च
पदान्ताद्वा,पदान्तात+वा
एचोऽयवायाव,एच+अयवायाव
क्रय्यस्तदर्थे,क्रय्य+तदर्थे
अन्तादिवच्च,अन्तादिवत+च
षत्वतुकोरसिद्ध,षत्वतुको+असिद्ध
आद्गुण,आत+गुण
वृद्धिरेचि,वृद्धि+एचि
आटश्च,आट+च
ओमाङोश्च,ओमाङो+च
उस्यपदान्तात्‌,उसि+अपदान्तात
सम्प्रसारणाच्च,सम्प्रसारणात+च
ङसिङसोश्च,ङसिङसो+च
यजुष्युर,यजुषि+उर
ऋत्यक,ऋति+अक
अप्लुतवदुपस्थिते,अप्लुतवत+उपस्थिते
अडभ्यासव्यवायेऽपि,अडभ्यासव्यवाये+अपि
आश्चर्यमनित्ये,आश्चर्यम+अनित्ये
वर्चस्केऽवस्कर,वर्चस्के+अवस्कर
प्रस्कण्वहरिश्चन्द्रावृषी,प्रस्कण्वहरिश्चन्द्रौ+ऋषी
नोङ्धात्वो,न+ऊङ्धात्वो
नामन्यतरस्याम्‌,नाम+अन्यतरस्याम
झल्युपोत्तमम,झलि+उपोत्तमम
अभ्यस्तानामादि,अभ्यस्तानाम+आदि
संज्ञायामुपमानम्‌,संज्ञायाम+उपमानम
युष्मदस्मदोर्ङसि,युष्मदस्मदो+ङसि
यतोऽनाव,यत+अनाव
चङ्यन्यतरस्याम,चङि+अन्यतरस्याम
अन्तोऽवत्या,अन्त+अवत्या
पदेऽपदेशे,पदे+अपदेशे
अध्वर्युकषाययोर्जातौ,अध्वर्युकषाययो+जातौ
सुखप्रिययोर्हिते,सुखप्रिययो+हिते
पत्यावैश्वर्ये,पत्यौ+ऐश्वर्ये
कुमारश्च,कुमार+च
पूगेष्वन्यतरस्याम,पूगेषु+अन्यतरस्याम
बह्वन्यतरस्याम,बहु+अन्यतरस्याम
दिष्टिवितस्त्योश्च,दिष्टिवितस्त्यो+च
राजन्यबहुवचनद्वंद्वेऽन्धकवृष्णिषु,राजन्यबहुवचनद्वन्द्वे+अन्धकवृष्णिषु
कार्तकौजपादयश्च,कार्त्तकौजपादय+च
कर्मधारयेऽनिष्ठा,कर्मधारये+अनिष्ठा
गतिरनन्तर,गति+अनन्तर
ईषदन्यतरस्याम,ईषत+अन्यतरस्याम
प्रथमोऽचिरोपसम्पत्तौ,प्रथम+अचिरोपसम्पत्तौ
आदिरुदात्त,आदि+उदात्त
विभाषाऽध्यक्षे,विभाषा+अध्यक्षे
भक्ताख्यास्तदर्थेषु,भक्ताख्या+तदर्थेषु
गोबिडालसिंहसैन्धवेषूपमाने,गोबिडालसिंहसैन्धवेषु+उपमाने
युक्तारोह्यादयश्च,युक्तारोह्यादय+च
ग्रामेऽनिवसन्त,ग्रामे+अनिवसन्त
घोषादिषु,घोषादिषु+शालायाम
उदकेऽकेवले,उदके+अकेवले
संज्ञौपम्ययोश्च,संज्ञौपम्ययो+च
क्रत्वादयश्च,क्रत्वादय+च
कूलतीरतूलमूलशालाऽक्षसममव्ययीभावे,कूलतीरतूलमूलशालाऽक्षसमम+अव्ययीभावे
आदिश्चिहणादीनाम,आदि+चिहणादीनाम
चीरमुपमानम्‌,चीरम+उपमानम
वर्ग्यादयश्च,वर्ग्यादय+च
नाचार्यराजर्त्विक्संयुक्तज्ञात्याख्येभ्य,न+आचार्यराजर्त्विक्संयुक्तज्ञात्याख्येभ्य
चूर्णादीन्यप्राणिषष्ठ्या,चूर्णादीनि+अप्राणिषष्ठ्या
संज्ञायामनाचितादीनाम्‌,संज्ञायाम+अनाचितादीनाम
अच्कावशक्तौ,अच्कौ+अशक्तौ
कृत्योकेष्णुच्चार्वादयश्च,कृत्योकेष्णुच्चार्वादय+च
व्यवायिनोऽन्तरम,व्यवायिन+अन्तरम
नाव्ययदिक्‌शब्दगोमहत्स्थूलमुष्टिपृथुवत्सेभ्य,न+अव्ययदिक्‌शब्दगोमहत्स्थूलमुष्टिपृथुवत्सेभ्य
निष्ठोपमानादन्यतरस्याम,निष्ठोपमानात+अन्यतरस्याम
अन्तश्च,अन्त+च
अभेर्मुखम,अभे+मुखम
अपाच्च,अपात+च
अधेरुपरिस्थम,अधे+उपरिस्थम
अनोरप्रधानकनीयसी,अनो+अप्रधानकनीयसी
अतेरकृत्पदे,अते+अकृत्पदे
नेरनिधाने,ने+अनिधाने
सोरवक्षेपणे,सो+अवक्षेपणे
विभाषोत्पुच्छे,विभाषा+उत्पुच्छे
अलुगुत्तरपदे,अलुक+उत्तरपदे
मध्याद्गुरौ,मध्यात+गुरौ
नेन्सिद्धबध्नातिषु,न+इन्सिद्धबध्नातिषु
पुत्रेऽन्यतरस्याम,पुत्रे+अन्यतरस्याम
इद्वृद्धौ,इत+वृद्धौ
उषासोषस,उषासा+उषस
मातरपितरावुदीचाम,मातरपितरौ+उदीचाम
क्यङ्मानिनोश्च,क्यङ्मानिनो+च
संज्ञापूरण्योश्च,संज्ञापूरण्यो+च
जातेश्च,जाते+च
त्रेस्त्रय,त्रे+त्रय
खित्यनव्ययस्य,खिति+अनव्ययस्य
वोपसर्जनस्य,वा+उपसर्जनस्य
विभाषोदरे,विभाषा+उदरे
इदङ्किमोरीश्की,इदङ्किमो+ईश्की
रथवदयोश्च,रथवदयो+च
दस्ति,द+ति
नोपधाया,न+उपधाया
तनोतेर्विभाषा,तनोते+विभाषा
राल्लोप,रात+लोप
श्नान्नलोप,श्नात+नलोप
रञ्जेश्च,रञ्जे+च
हन्तेर्ज,हन्ते+ज
तनोतेर्यकि,तनोते+यकि
णेरनिटि,णे+अनिटि
अयामन्ताल्वाय्येत्न्विष्णुषु,अय+आमन्ताल्वाय्येत्न्विष्णुषु
विभाषाऽऽप,विभाषा+आप
वाऽऽक्रोशदैन्ययो,वा+आक्रोशदैन्ययो
ईद्यति,ईत+यति
एर्लिङि,ए+लिङि
आडजादीनाम,आट+अजादीनाम
अभ्यासस्यासवर्णे,अभ्यासस्य+आसवर्णे
वाऽम्शसो,वा+अम्शसो
वर्षाभ्वश्च,वर्षाभ्व+च
तनिपत्योश्छन्दसि,तनिपत्यो+छन्दसि
श्रुशृणुपॄकृवृभ्यश्छन्दसि,श्रुशृणुपॄकृवृभ्य+छन्दसि
अङितश्च,अङित+च
श्नसोरल्लोप,श्नसो+अल्लोप
श्नाऽभ्यस्तयोरात,श्नाऽभ्यस्तयो+आत
इद्दरिद्रस्य,इत+दरिद्रस्य
भियोऽन्यतरस्याम,भिय+अन्यतरस्याम
जहातेश्च,जहाते+च
तॄफलभजत्रपश्च,तॄफलभजत्रप+च
श्वयुवमघोनामतद्धिते,श्वयुवमघोनाम+अतद्धिते
अल्लोपोऽन,अल्लोप+अन
षपूर्वहन्धृतराज्ञामणि,षपूर्वहन्धृतराज्ञाम+अणि
नस्तद्धिते,न+तद्धिते
ओर्गुण,ओ+गुण
हलस्तद्धितस्य,हल+तद्धितस्य
क्यच्व्योश्च,क्यच्व्यो+च
तुरिष्ठेमेयस्सु,तु+इष्ठेमेयस्सु
प्रकृत्यैकाच,प्रकृत्या+एकाच
गाथिविदथिकेशिगणिपणिनश्च,गाथिविदथिकेशिगणिपणिन+च
संयोगादिश्च,संयोगादि+च
ब्राह्मोअजातौ,ब्राह्म+अजातौ
कार्मस्ताच्छील्ये,कार्म्म+ताच्छील्ये
औक्षमनपत्ये,औक्षम+अनपत्ये
युवोरनाकौ,युवो+अनाकौ
झोऽन्त,झ+अन्त
अदभ्यस्तात्‌,अत+अभ्यस्तात
आत्मनेपदेष्वनत,आत्मनेपदेषु+अनत
वेत्तेर्विभाषा,वेत्ते+विभाषा
टाङसिङसामिनात्स्या,टाङसिङसाम+इनात्स्या
ङेर्य,ङे+य
नपुंसकाच्च,नपुंसकात+च
स्वमोर्नपुंसकात्‌,स्वमो+नपुंसकात
अतोऽम,अत+अम
तप्तनप्तनथनाश्च,तप्तनप्तनथना+च
स्नात्व्यादयश्च,स्नात्व्यादय+च
षट्चतुर्भ्यश्च,षट्‍चतुर्भ्य+च
श्रीग्रामण्योश्छन्दसि,श्रीग्रामण्यो+छन्दसि
मस्जिनशोर्झलि,मस्जिनशो+झलि
रधिजभोरचि,रधिजभो+अचि
रभेरशब्लिटो,रभे+अशब्लिटो
लभेश्च,लभे+च
युजेरसमासे,युजे+असमासे
शप्श्यनोर्नित्यम,शप्श्यनो+नित्यम
सावनडुह,सौ+अवनडुह
पथिमथ्यृभुक्षामात्‌,पथिमथ्यृभुक्षाम+आत
पुंसोऽसुङ,पुंस+असुङ
सख्युरसम्बुद्धौ,सख्यु+असम्बुद्धौ
उपधायाश्च,उपधाया+च
उदोष्ठ्यपूर्वस्य,उत+ओष्ठ्यपूर्वस्य
वदव्रजहलन्तस्याच,वदव्रजहलन्तस्य+अच
नेटि,न+इटि
ऊर्णोतेर्विभाषा,ऊर्णोते+विभाषा
आदितश्च,आदित+च
घुषिरविशब्दने,घुषि+अविशब्दने
हृषेर्लोमसु,हृषे+लोमसु
अपचितश्च,अपचित+च
अपरिह्वृताश्च,अपरिह्वृता+च
स्नुक्रमोरनात्मनेपदनिमित्ते,स्नुक्रमो+अनात्मनेपदनिमित्ते
लिङ्सिचोरात्मनेपदेषु,लिङ्‍सिचो+आत्मनेपदेषु
रधादिभ्यश्च,रधादिभ्य+च
इण्निष्ठायाम,इट+निष्ठायाम
तीषसहलुभरुषरिष,ति+इषसहलुभरुषरिष
सनीवन्तर्धभ्रस्जदम्भुश्रिस्वृयूर्णुभरज्ञपिसनाम,सनि+इवन्तर्धभ्रस्जदम्भुश्रिस्वृयूर्णुभरज्ञपिसनाम
पूङश्च,पूङ+च
वसतिक्षुधोरिट,वसतिक्षुधो+इट
उपदेशेऽत्वत,उपदेशे+अत्वत
इडत्त्यर्तिव्ययतीनाम,इट+अत्त्यर्तिव्ययतीनाम
वस्वेकाजाद्घसाम,वसु+एकाजाद्घसाम
ईदास,ईत+आस
युष्मदस्मदोरनादेशे,युष्मदस्मदो+अनादेशे
योऽचि,य+अचि
त्वमावेकवचने,त्वमौ+एकवचने
प्रतयोत्तरपदयोश्च,प्रतयोत्तरपदयो+च
त्यदादीनाम,त्यदादीनाम+अ
क्वाति,क्व+अति
दश्च,द+च
मृजेर्वृद्धि,मृजे+वृद्धि
देविकाशिंशपादित्यवाड्दीर्घसत्रश्रेयसामात्‌,देविकाशिंशपादित्यवाड्‍दीर्घसत्रश्रेयसाम+आत
श्वादेरिञि,श्वादे+इञि
पदान्तस्यान्यतरस्याम,पदान्तस्य+अन्यतरस्याम
अवयवादृतो,अवयवात+ऋतो
सुसर्वार्धाज्जनपदस्य,सुसर्वार्धात+जनपदस्य
दिशोऽमद्राणाम,दिश+अमद्राणाम
वर्षस्याभविष्यति,वर्षस्य+अभविष्यति
परिमाणान्तस्यासंज्ञाशाणयो,परिमाणान्तस्य+असंज्ञाशाणयो
जनिवध्योश्च,जनिवध्यो+च
अभाषितपुंस्काच्च,अभाषितपुंस्का+च
आदाचार्याणाम,आत+आचार्याणाम
ठस्येक,ठस्य+इक
अभ्यासाच्च,अभ्यासात+च
हेरचङि,हे+अचङि
सन्लिटोर्जे,सन्लिटो+जे
अजिवृज्योश्च,अजिवृज्यो+च
वञ्चेर्गतौ,वञ्चे+गतौ
यजयाचरुचप्रवचर्चश्च,यजयाचरुचप्रवचर्च+च
वचोऽशब्दसंज्ञायाम,वच+अशब्दसंज्ञायाम
क्सस्याचि,क्सस्य+अचि
ज्ञाजनोर्जा,ज्ञाजनो+जा
मीनातेर्निगमे,मीनाते+निगमे
मिदेर्गुण,मिदे+गुण
जाग्रोऽविचिण्णल्ङित्सु,जाग्र+अविचिण्णल्ङित्सु
भूसुवोस्तिङि,भूसुवो+तिङि
गुणोऽपृक्ते,गुण+अपृक्ते
अस्तिसिचोऽपृक्ते,अस्तिसिच+अपृक्ते
अड्गार्ग्यगालवयो,अट+गार्ग्यगालवयो
अम्बाऽर्थनद्योर्ह्रस्व,अम्बाऽर्थनद्यो+ह्रस्व
घेर्ङिति,घे+ङिति
आण्नद्या,आट+नद्या
याडाप,याट+आप
नाग्लोपिशास्वृदिताम,न+अग्लोपिशास्वृदिताम
भ्राजभासभाषदीपजीवमीलपीडामन्यतरस्याम्‌,भ्राजभासभाषदीपजीवमीलपीडाम+अन्यतरस्याम
तिष्ठतेरित्‌,तिष्ठते+इत
जिघ्रतेर्वा,जिघ्रते+वा
उर्ऋत्‌,उ+ऋत
केऽण,के+अण
आपोऽन्यतरस्याम,आप+अन्यतरस्याम
अस्यतेस्थुक,अस्यते+थुक
श्वयतेर,श्वयते+अ
एतेर्लिङि,एते+लिङि
अकृत्सार्वधातुकयोर्दीर्घ,अकृत्सार्वधातुकयो+दीर्घ
गुणोऽर्तिसंयोगाद्यो,गुण+अर्तिसंयोगाद्यो
अश्वाघस्यात्‌,अश्वाघस्य+आत
शाछोरन्यतरस्याम,शाच्छो+अन्यतरस्याम
दधातेर्हि,दधाते+हि
तासस्त्योर्लोप,तासस्त्यो+लोप
यीवर्णयोर्दीधीवेव्यो,यीवर्णयो+दीधीवेव्यो
आप्ज्ञप्यृधामीत्‌,आप्ज्ञप्यृधाम+ईत
कुहोश्चु,कुहो+चु
कृषेश्छन्दसि,कृषे+छन्दसि
उरत्‌,उ+अत
अश्नोतेश्च,अश्नोते+च
भवतेर,भवते+अ
भृञामित्‌,भृञाम+इत
अर्तिपिपर्त्योश्च,अर्तिपिपर्त्यो+च
सन्यत,सनि+अत
दीर्घोऽकित,दीर्घ+अकित
नीग्वञ्चुस्रंसुध्वंसुभ्रंसुकसपतपदस्कन्दाम,नीक+वञ्चुस्रंसुध्वंसुभ्रंसुकसपतपदस्कन्दाम
चरफलोश्च,चरफलो+च
ऋतश्च,ऋत+च
परेर्वर्जने,परे+वर्जने
तेमयावेकवचनस्य,तेमयौ+एकवचनस्य
तिङ्ङतिङ,तिङ+अतिङ
निपातैर्यद्यदिहन्तकुविन्नेच्चेच्चण्कच्चिद्यत्रयुक्तम,निपातै+यद्यदिहन्तकुविन्नेच्चेच्चण्कच्चिद्यत्रयुक्तम
अङ्गाप्रातिलोम्ये,अङ्ग+अप्रातिलोम्ये
जात्वपूर्वम,जातु+अपूर्वम
चनचिदिवगोत्रादितद्धिताम्रेडितेष्वगते,चनचिदिवगोत्रादितद्धिताम्रेडितेषु+आगते
यद्वृत्तान्नित्य,यद्वृतात+नित्यम
गतिर्गतौ,गति+गतौ
पूर्वत्रासिद्धम,पूर्वत्र+असिद्धम
छन्दसीर,छन्दसि+इर
नाद्घस्य,नात+घस्य
उपसर्गस्यायतौ,उपसर्गस्य+अयतौ
ह्रस्वादङ्गात्‌,ह्रस्वात+अङ्गात
आहस्थ,आह+थ
ओदितश्च,ओदित+च
श्योऽस्पर्शे,श्य+अस्पर्शे
अञ्चोऽनपादाने,अञ्च+अनपादाने
दिवोऽविजिगीषायाम,दिव+अविजिगीषायाम
निर्वाणोऽवाते,निर्वाण+अवाते
प्रस्त्योऽन्यतरस्याम,प्रस्त्य+अन्यतरस्याम
नुदविदोन्दत्राघ्राह्रीभ्योऽन्यतरस्याम,नुदविदोन्दत्राघ्राह्रीभ्य+अन्यतरस्याम
ऋणमाधमर्ण्ये,ऋणम+आधमर्ण्ये
नशेर्वा,नशे+वा
म्वोश्च,म्वो+च
रोऽसुपि,र+असुपि
तिप्यनस्ते,तिपि+अनस्ते
ओमभ्यादाने,ओम+अभ्यादाने
प्रणवष्टे,प्रणव+टे
ब्रूहिप्रेस्यश्रौषड्वौषडावहानामादे,ब्रूहिप्रेस्यश्रौषड्वौषडावहानाम+आदे
उभयथर्क्षु,उभयथा+ऋक्षु
कानाम्रेडिते,कान+आम्रेडिते
खरवसानयोर्विसर्जनीय,खरवसानयो+विसर्जनीय
मोऽनुस्वार,म+अनुस्वार
नश्च,न+च
सोऽपदादौ,स+अपदादौ
नमस्पुरसोर्गत्यो,नमस्पुरसो+गत्यो
तिरसोऽन्यतरस्याम,तिरस+अन्यतरस्याम
कःकरत्करतिकृधिकृतेष्वनदिते,कःकरत्करतिकृधिकृतेषु+अनदिते
नुम्विसर्जनीयशर्व्यवायेऽपि,नुम्विसर्जनीयशर्व्यवाये+अपि
परेश्च,परे+च
स्फुरतिस्फुलत्योर्निर्निविभ्य,स्फुरतिस्फुलत्यो+निर्निविभ्य
विभाषेट,विभाषा+इट
मातुःपितुर्भ्यामन्यतरस्याम्‌,मातुःपितुर्भ्याम+अन्यतरस्याम
प्रष्ठोऽग्रगामिनि,प्रष्ठ+अग्रगामिनि
वृक्षासनयोर्विष्टर,वृक्षासनयो+विष्टर
नक्षत्राद्वा,नक्षत्रात+वा
युष्मत्तत्ततक्षुःष्वन्तःपादम,युष्मत्तत्ततक्षुःषु+अन्तःपादम
यजुष्येकेषाम,यजुषि+एकेषाम
स्तुतस्तोमयोश्छन्दसि,स्तुतस्तोमयो+छन्दसि
सनोतेरन,सनोते+अन
सेधतेर्गतौ,सेधते+गतौ
अट्कुप्वाङ्नुम्व्यवायेऽपि,अट्‍कुप्वाङ्‍नुम्व्यवाये+अपि
विभाषौषधिवनस्पतिभ्य,विभाषा+ओषधिवनस्पतिभ्य
अह्नोऽदन्तात्‌,अह्न+अदन्तात
वाहनमाहितात्‌,वाहनम+आहितात
हन्तेरत्पूर्वस्य,हन्ते+अत्पूर्वस्य
वमोर्वा,वमो+वा
अन्तरदेशे,अन्त+अदेशे
छन्दस्यृदवग्रहात्‌,छन्दसि+ऋदवग्रहात
कृत्यच,कृति+अच
णेर्विभाषा,णे+विभाषा
पदव्यवायेऽपि,पदव्यवाये+अपि
शरोऽचि,शर+अचि
दीर्घादाचार्याणाम,दीर्घात+आचार्याणाम
वाऽवसाने,वा+अवसाने
तोर्लि,तो+लि
विच्छेद,वि+छेद
आच्छादयति,आ+छादयति
चेच्छिद्यते,चे+छिद्यते
अभ्युदय,अभि+उदय
अन्वय,अनु+अय
कर्त्री,कर्तृ+ई
नयनम,ने+अनम
भवनम,भो+अनम
नायक,नै+अक
पावक,पौ+अक
माण्डव्य,माण्डो+य
गव्यम,गो+यम
नाव्यम,नौ+यम
लव्यम,लो+यम
भाव्यम,भौ+यम
जय्य,जे+य
क्षय्य,क्षे+य
क्रय्य,क्रे+य
भय्य,भे+य
प्रेक्षणम,प्र+ईक्षणम
प्रोत्साह,प्र+उत्साह
उपैधते,उप+एधते
प्रौढ,प्र+ऊढ
प्रैष,प्र+एष
उपार्च्छति,उप+ऋच्छति
प्रार्च्छति,प्र+ऋच्छति
गा,गो+अस
गाम,गो+अम
प्रेजते,प्र+एजते
उपोषति,उप+ओषति
कोम,का+ओम
शिवायोम,शिवाय+ओम
कदोढा,कदा+ओढा
अद्यर्श्यात,अद्य+अर्श्यात
अयु,अया+उस
छिन्द्यु,छिन्द्या+उस
पचे,पच+ए
पचन्ति,पच+अन्ति
घटिति,घटत+इति
झटिति,झटत+इति
पटत्पटदिति,पटत्पटत+इति
पटत्पटेति,पटत्पटत+इति
पटत्पटा,पटत्पटत+आ
उपाचार्य,उप+आचार्य
उपेन्द्र,उप+इन्द्र
अग्नी,अग्नि+औ
वायू,वायु+औ
वृक्षा,वृक्ष+अस
वृक्षौ,वृक्ष+औ
कुमार्यौ,कुमारी+औ
उपनाह्यौ,उपनाही+औ
वृक्षम,वृक्ष+अम
गृहीत,ग्रह+इत
अग्ने,अग्ने+अस
सख्यु,सखि+अस
द्युकाम,दिव+काम
समस्करोत,सम+अकरोत
परिष्कर्ता,परि+कर्ता
परिष्कृतम,परि+कृतम
उपस्कृतम,उप+कृतम
उपस्कारम,उप+कारम
प्रतिस्कीर्णम,प्रति+कीर्णम
अपस्किरते,अप+किरते
अपरस्परा,अपर+परा
आस्पद,आ+पद
आश्चर्य,आ+चर्य
अवस्कर,अव+कर
अपस्कर,अप+कर
विष्कर,वि+कर
प्रतिष्कश,प्रति+कश
मस्कर,म+कर
सँस्कर्त्ता,सम+कर्त्ता
संस्कर्त्ता,सम+कर्त्ता
सँस्स्कर्त्ता,सम+स्कर्ता
संस्स्कर्त्ता,सम+स्कर्ता
पुँस्कामा,पुम+कामा
पुंस्कामा,पुम+कामा
लीढ,लिढ+ढ
पयःसु,पयर+सु
पयांसि,पयान+सि
सम्राट,सम+राट
सन्त्स,सन+स
कस्क,क+क
जलाषाट,जला+साट
सर्पिःषु,सर्पि+सु
वायुषु,वायु+सु
उषित,उ+सित
अभिषुणोति,अभि+सुनोति
विषदिति,वि+सदिति
परिष्टभ्नाति,परि+स्तभ्नाति
अवष्टभ्यास्ते,अव+स्थभ्यास्ते
विष्वणति,वि+स्वनति
परिषेवते,परि+सेवते
अनुष्यन्दते,अनु+स्यन्दते
विष्कन्ता,वि+स्कन्ता
परिष्कन्ता,परि+स्कन्ता
परिष्कन्द,परि+स्कन्द
निष्ष्फुरति,निस+स्फुरति
विष्कम्भिता,वि+स्कम्भिता
अभिनिष्टान,अभिनिस+स्तान
अभिष्यात,अभि+स्यात
सुषूति,सु+सूति
निष्णात,नि+स्नात
प्रतिष्णात,प्रति+स्नात
प्रष्ठ,प्र+स्थ
विष्टार,वि+स्तार
विष्ठलम,वि+स्थलम
हरिषेण,हरि+सेन
भरणिषेण,भरणि+सेन
निष्टपति,निस+तपति
पृतनाषाहम,पृतना+साहम
अभिषसाद,अभि+ससाद
न्यषीदत,नि+असीदत
पूष्णा,पूष+ना
रामेण,रामे+न
वृत्रहण,वृत्र+हन
परिणमति,परि+नमति
प्रहिणुत,प्र+हिनुत
प्रवपाणि,प्रवप+आनि
प्रणिपतति,प्र+निपतति
प्रणिपचति,प्र+निपचति
प्राणिति,प्र+अनिति
प्राण,प्र+अन
प्रहण्यते,प्र+हन्यते
प्रहण्व,प्र+हन्व
रक्षाण,रक्षा+न
प्रण,प्र+न
परिमाणम,परि+मानम
प्रयापणम,प्र+यापनम
प्रकोपणम,प्र+कोपनम
प्रेङ्खणम,प्र+इङ्खनम
प्रणिक्षणम,प्र+निक्षणम
वृक्षान,वृक्ष+अन
यज्ञ,यज+न
दुष्ट,दुस+ट
विष्णु,विष+नु
पेष्टा,पेष+ता
उड्डीन,उद+डीन
कर्त्तव्यम,कर+तव्यम
कर्तव्यम,कर+तव्यम
अक्षदर्श,अक्षदर+श
वृद्धि,वृध+धि
शङ्का,श+का
उत्थानम,उद+स्थानम
कृष्णर्धि,कृष्णर+ध्धि
प्रथमोऽङ्क,प्रथम+अङ्क
ममापि,मम+अपि
किमसि,किम+असि
त्वमभ्यन्तरम,त्वम+अभ्यन्तरम
द्रुतमुपगम्य,द्रुतम+उपगम्य
तेऽस्तु,ते+अस्तु
प्रभुर्वा,प्रभु+वा
राममुपगम्य,रामम+उपगम्य
वानरेन्द्रस्तु,वानरेन्द्र+तु
पतिर्मम,पति+मम
राममुद्दिश्य,रामम+उद्दिश्य
दण्ड्योऽस्मि,दण्ड्य+अस्मि
मेऽद्य,मे+अद्य
नार्हति,न+अर्हति
हनूमांश्च,हनूमान+च
आपस्तावत,आप+तावत
स्वर्यात,स्व+यात
द्वितीयोऽङ्क,द्वितीय+अङ्क
महाराजश्च,महाराज+च
सागरोऽद्य,सागर+अद्य
खल्वस्मि,खलु+अस्मि
खल्वद्य,खलु+अद्य
मामन्तरेण,माम+अन्तरेण
महेन्द्रपुरीव,महेन्द्रपुरी+इव
खल्वियम,खलु+इयम
यैषा,या+एषा
भात्यसौ,भाति+असौ
ध्रुवमहो,ध्रुवम+अहो
चन्द्रलेखेव,चन्द्रलेख+इव
मृगीव,मृगी+इव
चापि,च+अपि
त्वहम,तु+अहम
चान्तरे,च+अन्तरे
अयमिदानीम,अयम+इदानीम
तृतीयोऽङ्क,तृतीय+अङ्क
भग्नेति,भग्ना+इति
यथार्क,यथा+अर्क
चाद्य,च+अद्य
निगृह्यानय,निगृह्य+आनय
क्षिप्रमेव,क्षिप्रम+एव
शूरश्च,शूर+च
बलवानपि,बलवान+अपि
तोरणमाश्रित्य,तोरणम+आश्रित्य
कुमारमक्ष,कुमारम+अक्षम
कपिरपि,कपि+अपि
विजयोऽथवा,विजय+अथवा
कोऽत्र,क+अत्र
यन्मया,यत+मया
साकमाकम्प्य,साकम+आकम्प्य
तन्मम,तत+मम
एह्येहि,एहि+एहि
त्वमपि,त्वम+अपि
किमस्य,किम+अस्य
कस्त्वम,क+त्वम
किमाह,किम+आह
तेऽस्ति,ते+अस्ति
हितमन्तरेण,हितम+अन्तरेण
वयमपि,वयम+अपि
ममानवेक्ष्य,मम+अनवेक्ष्य
अहमेव,अहम+एव
अद्यैव,अद्य+एव
चतुर्थोऽङ्क,चतुर्थ+अङ्क
किमिति,किम+इति
हनुमांश्च,हनुमान+च
राक्षसोऽसौ,राक्षस+असौ
इवाशु,इव+आशु
