श्रीमद्भगवद्गीता,श्रीमत+भगवत+गीता
जातेरस्त्रीविषयादयोपधात्‌,जाते+अस्त्रीविषयात+अयोपधात
प्राग्दीव्यतोऽण,प्राक+दीव्यत+अण
द्विगोर्लुगनपत्ये,द्विगो+लुक+अनपत्ये
गोत्रेऽलुगचि,गोत्रे+अलुक+अचि
गोत्राद्यून्यस्त्रियाम,गोत्रात+यूनि+अस्त्रियाम
इतश्चानिञ,इत+च+अनिञ
भ्रातुर्व्यच्च,भ्रातु+व्यत+च
स्त्रियामवन्तिकुन्तिकुरुभ्यश्च,स्त्रियाम+अवन्तिकुन्तिकुरुभ्य+च
लाक्षारोचना(शकलकर्दमा)ट्ठक,लाक्षारोचनात+(शकलकर्दमात्)+ठक
तत्रोद्धृतममत्रेभ्य,तत्र+उद्धृतम+अमत्रेभ्य
अध्यायेष्वेवर्षे,अध्यायेषु+एव+ऋषे
पितुर्यच्च,पितु+यत+च
अचित्ताददेशकालाट्ठक,अचित्तात+अदेशकालात+ठक
संघाङ्कलक्षणेष्वञ्यञिञामण,संघाङ्कलक्षणेषु+अञ्यञिञाम+अण
मयड्वैतयोर्भाषायामभक्ष्याच्छादनयो,मयट+वा+एतयो+भाषायाम+अभक्ष्याच्छादनयो
प्राग्वहतेष्ठक,प्राक+वहते+ठक
श्वगणाट्ठञ्च,श्वगणात+ठञ+च
आक्रन्दाट्ठञ्च,आक्रन्दात+ठञ+च
मड्डुकझर्झरादणन्यतरस्याम,मड्‍डुकझर्झरात+अण+अन्यतरस्याम
परश्वधाट्ठञ्च,परश्वधात+ठञ+च
भक्तादणन्यतरस्याम,भक्तात+अण+अन्यतरस्याम
प्राग्घिताद्यत्‌,प्राक+हितात+यत
मूलमस्याबर्हि,मूलम+अस्य+आबर्हि
वेशोयशआदेर्भगाद्यल,वेशोयशआदे+भगात+यल
प्राग्वतेष्ठञ,प्राक+वते+ठञ
आर्हादगोपुच्छसंख्यापरिमाणाट्ठक,आ+अर्हात+अगोपुच्छसंख्यापरिमाणात+ठक
वतोरिड्वा,वतो+इट+वा
शूर्पादञन्यतरस्याम,शूर्पात+अञ+अन्यतरस्याम
अध्यर्धपूर्वद्विगोर्लुगसंज्ञायाम,अध्यर्धपूर्वद्विगो+लुक+असंज्ञायाम
गोद्व्यचोरसंख्यापरिमाणाश्वादेर्यत्‌,गोद्‍व्यच+असंख्यापरिमाणाश्वादे+यत
भागाद्यच्च,भागात+यत+च
द्विगोष्ठंश्च,द्विगो+ष्ठन+च
सोऽस्यांशवस्नभृतय,स+अस्य+अंशवस्नभृतय
शीर्षच्छेदाद्यच्च,शीर्षच्छेदात+यत+च
पात्राद्घंश्च,पात्रात+घन+च
षण्मासाण्ण्यच्च,षण्मासात+ण्यत+च
वत्सरान्ताच्छश्छन्दसि,वत्सरान्तात+छ+छन्दसि
योगाद्यच्च,योगात+यत+च
स्तेनाद्यन्नलोपश्च,स्तेनात+यत+नलोप+च
योपधाद्गुरूपोत्तमाद्वुञ,योपधात+गुरूपोत्तमात+वुञ
नान्तादसंख्याऽऽदेर्मट,नान्तात+असङ्‍ख्यादे+मट
विंशत्यादिभ्यस्तमडन्यतरस्याम,विंशत्यादिभ्य+तमट+अन्यतरस्याम
षष्ट्यादेश्चासंख्याऽऽदे,षष्ट्‍यादे+च+आसङ्‍ख्याऽऽदे
उदराट्ठगाद्यूने,उदरात+ठक+आद्यूने
श्रोत्रियंश्छन्दोऽधीते,श्रोत्रियन+छन्द+अधीते
केशाद्वोऽन्यतरस्याम,केशात+व+अन्यतरस्याम
रूपादाहतप्रशंसयोरप्‌,रूपात+आहतप्रशंसयो+यप
सद्यःपरुत्परार्यैषमःपरेद्यव्यद्यपूर्वेद्युरन्येद्युरन्यतरेद्युरितरेद्युरपरेद्युरधरेद्युरुभयेद्युरुत्तरेद्यु,सद्य+परुत्परार्यैषम+परेद्यव्यद्यपूर्वेद्यु+अन्येद्यु+अन्यतरेद्यु+इतरेद्यु+अपरेद्यु+अधरेद्यु+उभयेद्यु+उत्तरेद्यु
एनबन्यतरस्यामदूरेऽपञ्चम्या,एनप+अन्यतरस्याम+अदूरे+अपञ्चम्या
प्रागेकादशभ्योऽच्छन्दसि,प्राक+एकादशभ्य+अच्छन्दसि
एकादाकिनिच्चासहाये,एकात+आकिनिच+च+असहाये
प्रागिवात्क,प्राक+इवात+क
अजिनान्तस्योत्तरपदलोपश्च,अजिनान्तस्य+उत्तरपदलोप+च
एकशालायाष्ठजन्यतरस्याम,एकशालाया+ठच+अन्यतरस्याम
पूगाञ्ञ्योऽग्रामणीपूर्वात्‌,पूगात+ञ्य+अग्रामणीपूर्वात
आयुधजीविसंघाञ्ञ्यड्वाहीकेष्वब्राह्मणराजन्यात्‌,आयुधजीविसङ्‍घात+ञ्यट+वाहीकेषु+अब्राह्मणराजन्यात
किमेत्तिङव्ययघादाम्वद्रव्यप्रकर्षे,किमेत्तिङव्ययघात+आमु+अद्रव्यप्रकर्षे
रोगाच्चापनयने,रोगात+च+अपनयने
ऋक्पूरप्धूःपथामानक्षे,ऋक्पूरप्धूःपथाम+अ+अनक्षे
अनसन्तान्नपुंसकाच्छन्दसि,अनसन्तात+नपुंसकात+छन्दसि
गन्धस्येदुत्पूतिसुसुरभिभ्य,गन्धस्य+इत+उत्पूतिसुसुरभिभ्य
लिट्यभ्यासस्योभयेषाम,लिटि+अभ्यासस्य+उभयेषाम
अपस्पृधेथामानृचुरानृहुश्चिच्युषेतित्याजश्राताःश्रितमाशीराशीर्त्त,अपस्पृधेथाम+आनृचु+आनृहु+चिच्युषे+तित्याज+श्राता+श्रितम+आशीर+आशीर्त्ता
सृजिदृशोर्झल्यमकिति,सृजिदृशो+झलि+अम+अकिति
धातोस्तन्निमित्तस्यैव,धातो+तन्निमित्तस्य+एव
औतोऽम्शसो,आ+ओत+अम्शसो
नादिचि,न+आत+इचि
प्रकृत्याऽन्तःपादमव्यपरे,प्रकृत्या+अन्तःपादम+अव्यपरे
आङोऽनुनासिकश्छन्दसि,आङ+अनुनासिक+छन्दसि
अपाच्चतुष्पाच्छकुनिष्वालेखने,अपात+चतुष्पाच्छकुनिषु+आलेखने
सावेकाचस्तृतीयाऽऽदिविभक्ति,सौ+एकाच+तृतीयादि+विभक्ति
अन्तोदत्तादुत्तरपदादन्यतरस्यामनित्यसमासे,अन्तोदत्तात+उत्तरपदात+अन्यतरस्याम+अनित्यसमासे
अञ्चेश्छन्दस्यसर्वनामस्थानम,अञ्चे+छन्दसि+असर्वनामस्थानम
स्वपादिर्हिंसामच्यनिटि,स्वपादिर्हिंसाम+अचि+अनिटि
आदिर्णमुल्यन्यतरस्याम,आदि+णमुलि+अन्यतरस्याम
ञ्णित्यादिर्नित्यम,ञ्णिति+आदि+नित्यम
आचार्योपसर्जनश्चान्तेवासी,आचार्योपसर्जन+च+अन्तेवासी
प्रस्थेऽवृद्धमकर्क्यादीनाम्‌,प्रस्थे+अवृद्धम+अकर्क्यादीनाम
आचार्योपसर्जनश्चान्तेवासिनि,आचार्योपसर्जन+स्थाने+सुर्भवतीति
निष्ठोपसर्गपूर्वमन्यतरस्याम्‌,निष्ठा+उपसर्गपूर्वम+अन्यतरस्याम
शितेर्नित्याबह्वज्बहुव्रीहावभसत्‌,शिते+नित्याबह्वव्च+बहुव्रीहौ+अभसत
नोत्तरपदेऽनुदात्तादावपृथिवीरुद्रपूषमन्थिषु,न+उत्तरपदे+अनुदात्तादौ+अपृथिवीरुद्रपूषमन्थिषु
कारकाद्दत्तश्रुतयोरेवाशिषि,कारकात+दत्तश्रुतयो+एव+आशिषि
ययतोश्चातदर्थे,ययतो+च+अतदर्थे
बहोर्नञ्वदुत्तरपदभूम्नि,बहो+नञ्वत+उत्तरपदभूम्नि
परेरभितोभाविमण्डलम,परे+अभितोभावि+मण्डलम
पुरुषश्चान्वादिष्ट,पुरुष+च+अन्वादिष्ट
प्रतेरंश्वादयस्तत्पुरुषे,प्रते+अंश्वादय+तत्पुरुषे
स्वाङ्गाच्चेतोऽमानिनि,स्वाङ्गात+च+ईत+अमानिनि
तस्मान्नुडचि,तस्मात+नुट+अचि
नगोऽप्राणिष्वन्यतरस्याम,नग+अप्राणिषु+अन्यतरस्याम
प्रकृत्याऽऽशिष्यगोवत्सहलेषु,प्रकृत्या+आशिषि+अगोवत्सहलेषु
तिरसस्तिर्यलोपे,तिरस+तिरि+अलोपे
ऊदनोर्देशे,ऊत+अनो+देशे
सहिवहोरोदवर्णस्य,सहिवहो+ओत+अवर्णस्य
द्व्यचोऽतस्तिङ,द्‍व्यच+अत+तिङ
ज्वरत्वरश्रिव्यविमवामुपधायाश्च,ज्वरत्वरस्रिव्यविमवाम+उपधाया+च
असिद्धवदत्राभात्‌,असिद्धवत+अत्र+आ+भात
विड्वनोरनुनासिकस्यात्‌,विड्‍वनो+अनुनासिकस्य+आत
युप्लुवोर्दीर्घश्छन्दसि,युप्लुवो+दीर्घ+छन्दसि
मयतेरिदन्यतरस्याम,मयते+इत+अन्यतरस्याम
लुङ्लङ्लृङ्क्ष्वडुदात्त,लुङ्लङ्लृङ्क्ष्व+अट+उदात्त
एरनेकाचोऽसंयोगपूर्वस्य,ए+अनेकाच+असंयोगपूर्वस्य
चिण्णमुलोर्दीर्घोऽन्यतरस्याम,चिण्णमुलो+दीर्घ+अन्यतरस्याम
छादेर्घेऽद्व्युपसर्गस्य,छादे+घे+अद्‍व्युपसर्गस्य
घ्वसोरेद्धावभ्यासलोपश्च,घ्वसो+एत+हौ+अभ्यासलोप+च
अर्वणस्त्रसावनञ,अर्वण+तृ+असौ+अवनञ
मन्त्रेष्वाङ्यादेरात्मन,मन्त्रेषु+आङि+आदे+आत्मन
अह्नष्टखोरेव,अह्न+टखो+एव
ज्यादादीयस,ज्यात+आत+ईयस
विभाषर्जोश्छन्दसि,विभाषा+ऋजो+छन्दसि
इनण्यनपत्ये,इन+अणि+अनपत्ये
नेदमदसोरको,न+इदमदसो+अको
नेतराच्छन्दसि,न+इतरात+छन्दसि
तुह्योस्तातङाशिष्यन्यतरस्याम,तुह्यो+तातङ+आशिषि+अन्यतरस्याम
आज्जसेरसुक,आत+जसे+असुक
अस्थिदधिसक्थ्यक्ष्णामनङुदात्त,अस्थिदधिसक्थ्यक्ष्णाम+अनङ+उदात्त
नाभ्यस्ताच्छतु,न+अभ्यस्तात+शतु
आच्छीनद्योर्नुम,आत+शीनद्यो+नुम
चतुरनडुहोरामुदात्त,चतुरनडुहो+आम+उदात्त
अभेश्चाविदूर्ये,अभे+च+आविदूर्ये
अनाप्यक,अन+आपि+अक
तद्धितेष्वचामादे,तद्धितेषु+अचाम+आदे
हनस्तोऽचिण्णलो,हन+त+अचिण्णलो
भस्त्रैषाऽजाज्ञाद्वास्वानञ्पूर्वाणामपि,भस्त्रैषाऽजाज्ञाद्वास्वा+नञ्पूर्वाणाम+अपि
ङेराम्नद्याम्नीभ्य,ङे+आम+नद्याम्नीभ्य
दुरस्युर्द्रविणस्युर्वृषण्यतिरिषण्यति,दुरस्यु+द्रविणस्यु+वृषण्यति+रिषण्यति
नुगतोऽनुनासिकान्तस्य,नुक+अत+अनुनासिकान्तस्य
वाक्यादेरामन्त्रितस्यासूयासम्मतिकोपकुत्सनभर्त्सनेषु,वाक्यादे+आमन्त्रितस्य+असूयासम्मतिकोपकुत्सनभर्त्सनेषु
पश्यार्थैश्चानालोचने,पश्यार्थै+च+अनालोचने
नन्वित्यनुज्ञैषणायाम,ननु+इति+अनुज्ञैषणायाम
आसन्दीवदष्ठीवच्चक्रीवत्कक्षीवद्रुमण्वच्चर्मण्वती,आसन्दीवत+अष्ठीवत+चक्रीवत++कक्षीवत++रुमण्वत+चर्मण्वती
दादेर्धातोर्घ,दादे+धातो+घ
दधस्तथोश्च,दध+तथो+च
झषस्तथोर्धोऽध,झष+तथो+ध+अध
अवयाःश्वेतवाःपुरोडाश्च,अवया+श्वेतवा+पुरोडा+च
स्वरितमाम्रेडितेऽसूयासम्मतिकोपकुत्सनेषु,स्वरितम+आम्रेडिते+असूयासम्मतिकोपकुत्सनेषु
नश्छव्यप्रशान,न+छवि+अप्रशान
प्राक्सितादड्व्यवायेऽपि,प्राक+सितात+अड्व्यवाये+अपि
सदिरप्रते,सदि+अत्र+अप्रते
अवाच्चालम्बनाविदूर्ययो,अवात+च+आलम्बनाविदूर्ययो
उपसर्गप्रादुर्भ्यामस्तिर्यच्पर,उपसर्गप्रादुर्भ्याम+अस्ति+यच्पर
निसस्तपतावनासेवने,निस+तपतौ+अनासेवने
प्रनिरन्तःशरेक्षुप्लक्षाम्रकार्ष्यखदिरपियूक्षाभ्योऽसंज्ञायामपि,प्रनिरन्तःशरेक्षुप्लक्षाम्रकार्ष्यखदिरपियूक्षाभ्य+असंज्ञायाम+अपि
अणोऽप्रगृह्यस्यानुनासिक,अण+अप्रगृह्यस्य+अनुनासिक
शश्छोऽटि,श+छ+अटि
नोदात्तस्वरितोदयमगार्ग्यकाश्यपगालवानाम्‌,न+उदात्तस्वरितोदयम+अगार्ग्यकाश्यपगालवानाम
बहुश्रेयस्यै,बहुश्रेयस्यी+आट+ङे
मामभिमुखमेत्य,माम+अभिमुखम+एत्य
अस्यैषावस्था,अस्य+एषा+अवस्था
शपथश्चैव,शपथ+च+एव
तस्मादहमपि,तस्मात+अहम+अपि
तच्चापि,तत+च+अपि
अतोऽप्यधिकम,अत+अपि+अधिकम
कस्त्वमिति,क+त्वम+इति
यावदहमपि,यावद+अहम+अपि
शक्रजिच्चापि,शक्रजित+च+अपि
एवमपीदानी,एवम+अपि+इदानी
खल्वलीकमेतद,खलु+अलीकम+एतद
सम्बन्धस्तावदेव,सम्बन्ध+तावत+एव
नैवासौ,न+एव+असौ
सदैवैका,सदा+एव+एका
भवत्यच्छमेव,भवति+अच्छम+एव
मन्दस्तन्मन्यते,मन्द+तत+मन्यते
तमेवासौ,तम+एव+असौ
प्रश्नस्तथोत्तरम,प्रश्न+तथा+उत्तरम
यत्रासावर्जुनस्तत्रैव,यत्र+असौ+अर्जुन+तत्र+एव
सहानुगतोऽस्मि,सह+अनुगत+अस्मि
दीर्घायुर्भवेति,दीर्घायु+भव+इति
खल्वयमर्थ,खलु+अयम+अर्थ
ग्रहणमस्यात्र,ग्रहणम+अस्य+अत्र
नीचोऽहमेव,नीच+अहम+एव
कृत्वाप्यासीनोऽस्मि,कृत्वा+अपि+आसीन+अस्मि
नाशक्यमस्ति,न+अशक्यम+अस्ति
नाहमभिमन्युरिह,न+अहम+अभिमन्यु+इह
दूतोऽहमस्मि,दूत+अहम+अस्मि
विष्णुरद्यावतीर्ण,विष्णु+अद्य+अवतीर्ण
बलवांश्चायमन्धकार,बलवान+च+अयम+अन्धकार
यावदिदानीमभ्यन्तरमेव,यावत+इदानीम+अभ्यन्तरम+एव
कुमारमेवानीय,कुमारम+एव+आनीय
कालरात्रिरिवोत्थिता,कालरात्रि+इव+उत्थिता
ततस्तमपि,तत+तम+अपि
देहस्तेनैव,देह+तेन+एव
तदिदानीमेव,तत+इदानीम+एव
तमिहोपनीय,तम+इह+उपनीय
मृत्युरिवावतीर्ण,मृत्यु+इव+अवतीर्ण
स्वयमेवात्मा,स्वयम+एव+आत्मा
श्रान्तोऽसीति,श्रान्त+असि+इति
उपलब्धेदानीमसि,उपलब्धा+इदानीम+असि
काचिदियमागच्छति,काचित+इयम+आगच्छति
वसन्तसेनैवैषा,वसन्तसेन+एव+एषा
नेयमपि,न+इयम+अपि
एवेदानीमेष,एव+इदानीम+एष
कदाचिदहमपि,कदाचित+अहम+अपि
तत्तदुक्त्वा,तत+तत+उक्त्वा
अतस्तत्रैव,अत+तत्र+एव
परिचारकश्‍चाऽस्ति,परिचारक+च+अस्ति
केवलमिदमेव,केवलम+इदम+एव
’’इत्‍यधुनाऽहम,इति+अधुना+अहम
गांभीर्यमहमधुनापि,गांभीर्यम+अहम+अधुना+अपि
नाद्यापि,न+अद्य+अपि
तदिदमेव,तत+इदम+एव
दृष्ट्वाऽप्‍यद्यावधि,दृष्ट्वा+अपि+अद्य+अवधि
तदिदमपि,तत+इदम+अपि
नाहमद्यावधि,न+अहम+अद्य+अवधि
सकृन्‍मयापि,सकृत+मया+अपि
तदिदमहम,तत+इदम+अहम
चापलमिदम,च+अपलम+इदम
यन्‍नाहम,यत+न+अहम
सहसैवायम,सहसा+एव+अयम
यन्‍न्‍नाहमधुना,यत+न+अहम+अधुना
विशेषश्‍चायम,विशेष+च+अयम
सहादायात्रापि,सह+आदाय+अत्र+अपि
कोऽप्‍यनुभवति,क+अपि+अनुभवति
निर्गतस्‍तत्रैकम,निर्गत+तत्र+एकम
यत्किमधुनाऽपि,यत+किम+अधुना+अपि
यत्‍सोऽद्यापि,यत+स+अद्य+अपि
सहाहमपि,सह+अहम+अपि
नासावग्रे,न+असौ+अग्रे
काऽप्‍याशा,का+अपि+आशा
एकाक्‍येवासौ,एकाकी+एव+असौ
नाऽपारयदयम,न+अपारयत+अयम
नाऽपारयद्यत,न+अपारयत+यत
यत्‍कोऽपि,यत+क+अपि
तदहमपि,तत+अहम+अपि
विहायाहमेव,विहाय+अहम+एव
सर्वदैवासौ,सर्वदा+एव+असौ
अहमप्‍यत्रैव,अहम+अपि+अत्र+एव
त्‍ववकाशोऽपि,तु+अवकाश+अपि
तत्त्‍वमिदम,तत+तु+इदम
अतस्‍तदिदमपि,अत+तत+इदम+अपि
प्रकाशितमित्‍यपि,प्रकाशितम+इति+अपि
भोजनमप्‍ययम,भोजनम+अपि+अयम
इदमहमपि,इदम+अहम+अपि
यत्‍सहसैव,यत+सहसा+एव
व्रतमेवेदम,व्रतम+एव+इदम
सेयमेव,सा+इयम+एव
यत्‍कीदृशोऽपि,यत+कीदृश+अपि
सेयमिच्‍छा,सा+इयम+इच्छा
प्रथमोऽन्तिमश्‍च,प्रथम+अन्तिम+च
प्रमाणमेवेदम,प्रमाणम+एव+इदम
किमयमेव,किम+अयम+एव
किंचिन्‍मुक्तिर्मया,किंचित+मुक्ति+मया
अचिरादेवाहम,अचिरात+एव+अहम
यत्तदिदमपि,यत+इदम+अपि
तदिदमह,तत+इदम+अहम
नाधिकमवधानम,न+अधिकम+अवधानम
नाधुनाहम,न+अधुना+अहम
अत्रेमेपि,अत्र+एवम+अपि
केवलमनेनैव,केवलम+अनेन+एव
केवलमेकमेव,केवलम+एकम+एव
चाऽऽयासमयम,च+अयम+समय
तेनाऽहमपि,तेन+अहम+अपि
नाद्यावधि,न+अद्य+अवधि
वृत्तमिदमद्यावधि,वृत्तम+इदम+अद्यावधि
यतोऽद्यापि,यत+अद्य+अपि
यदत्रैव,यत+अत्र+एव
त्‍वसकृदयम,तु+असकृत+अयम
प्राप्तस्‍तदाऽहमेव,प्राप्त+तदा+अहम+एव
कोऽयमद्य,क+अयम+अद्य
वोत्तरमह,व+उत्तरम+अहम
भूत्‍सेयम,भूत+सा+इयम
ततश्चाहम,तत+च+अहम
यदधुनैव,यत+अधुना+एव
तथैवायमपि,तथैव+अयम+अपि
नाऽहमधुना,न+अहम+अधुना
नाहमधुना,न+अहम+अधुना
तदधुनाऽपि,तत+अधुना+अपि
पुनर्दर्शनमपि,पुन+दर्शनम+अपि
यदहमत्र,यत+अहम+अत्र
किमहमधुना,किम+अहम+अधुना
ब्रह्माहमस्मि,ब्रह्म+अहम+अस्मि
चैवापरा,च+एव+अपरा
तथेत्युक्त्वा,तथा+इति+उक्त्वा
राहुर्मत्तस्तु,राहु+मत्त+तु
तथेत्याहाथ,तथा+इति+आह+अथ
मायेयमिति,माया+इयम+इति
सुराश्चासन,सुरा+च+आसन
हतास्मीति,हता+अस्मि+इति
खरस्तथेति,खर+तथा+इति
तथेत्याह,तथा+इति+आह
दृष्ट्वोत्थितञ्च,दृष्ट्वा+उत्थितम+च
ब्रह्माहमस्मीति,ब्रह्म+अहम+अस्मि+इति
भीमस्तन्तु,भीम+तम+तु
भुवमथापि,भुवम+अथ+अपि
तस्माच्चैव,तस्मात+च+एव
चेन्द्रस्तु,च+इन्द्र+तु
हिमवांश्चैव,हिमवान+च+एव
सर्गश्चतुर्थस्तु,सर्ग+चतुर्थ+तु
सात्त्विकस्तामसश्च,सात्त्विक+तामस+च
उच्चैःश्रवाश्चारुणश्च,उच्चैःश्रवा+च+अरुण+च
सोमोऽङ्गारकोथ,सोम+अङ्गारक+अथ
केतुस्तेजश्चण्ड,केतु+तेज+चण्ड
शिरश्चैव,शिर+च+एव
ह्यनन्तञ्च,हि+अनन्तम+च
चार्द्धमेव,च+अर्द्धम+एव
हृच्छिरश्च,हृत+शिर+च
श्रोत्रन्त्वग्दृग्जिह्वा,श्रोत्रम+त्वक+दृक+जिह्वा
भूर्भुवःस्वर्म्महर्ज्जनस्तप,भू+भुव+स्व+मह+जन+तप
अग्निष्टोमस्तथोक्तस्तु,अग्निष्टोम+तथा+उक्त+तु
पद्मनाभस्तथैव,पद्मनाभ+तथा+एव
माधवश्चाथ,माधव+च+अथ
मनश्चित्तञ्च,मन+चित्तम+च
विधिस्त्वन्य,विधि+तु+अन्य
दक्षिणेप्येवमेव,दक्षिणे+अपि+एवम+एव
यथाचार्य्यस्तु,यथा+आचार्य्य+तु
स्यादेवमन्यत्तु,स्यात+एवम+अन्यत+तु
सप्तान्तस्त्रीणि,सप्त+अन्त+त्रीणि
मनश्चैव,मन+च+एव
भूर्भुवश्चैव,भू+भुव+च+एव
महर्जनस्तप,मह+जन+तप
विषमन्यत्तु,विषम+अन्यत+तु
विष्णुर्द्देवेष्वपि,विष्णु+देवेषु+अपि
शिवञ्चास्तु,शिवम+च+अस्तु
सीमन्तोन्नयनञ्चैव,सीमन्तोन्नयनम+च+एव
आधानञ्चाग्निहोत्रञ्च,आधानम+च+अग्निहोत्रम+च
क्षान्तिश्चैव,क्षान्ति+च+एव
रमित्यनेनैव,रम+इति+अनेन+एव
क्षमाप्याथ,क्षमा+अपि+अथ
कुलन्तेनैव,कुलम+तेन+एव
नात्रास्ति,न+अत्र+अस्ति
स्याच्छिलाप्यथ,स्यात+शिला+अपि+अथ
परिधिश्चास्य,परिधि+च+अस्य
कूर्मस्तथोन्नत,कूर्म+तथा+उन्नत
चक्रञ्चाध,चक्रम+च+अध
चाक्षसूत्रञ्च,च+अक्षसूत्रम+च
रविश्चैवाथ,रवि+च+एव+अथ
ईषन्निम्नन्तु,ईषत+निम्नम+तु
तच्चोत्तरेण,तत+च+उत्तरेण
तगरञ्चैव,तगरम+च+एव
रजतञ्चैव,रजतम+च+एव
युक्तमप्यपरे,युक्तम+अपि+अपरे
चैवापरे,च+एव+अपरे
वागुपस्थश्च,वाक+उपस्थ+च
नमस्तेस्तु,नम+ते+अस्तु
तावद्यावन्मे,तावत+यावत+मे
विष्णुरापस्तु,विष्णु+आप+तु
ईशोऽनन्तोऽथ,ईश+अनन्त+अथ
देवमेवन्तु,देवम+एवम+तु
पुनस्तेनैव,पुन+तेन+एव
नमश्चाथ,नम+च+अथ
हूमित्यनेन,हूम+इति+अनेन
सोहमेव,स+अहम+एव
शिवोऽहमादि,शिव+अहम+आदि
नमस्तेऽस्तु,नम+ते+अस्तु
इत्येवन्देवमामन्त्र्य,इति+एवम+देवम+आमन्त्र्य
शिवमिवाभ्यर्च्य,शिवम+इव+अभ्यर्च्य
सम्यगित्याह,सम्यग+इति+आह
शिवोऽहमिति,शिव+अहम+इति
सोऽहमेवेति,स+अहम+एव+इति
समन्ताच्चोपरि,समन्तात+च+उपरि
शिवोऽहमित्यहङ्कारी,शिव+अहम+इति+अहङ्कारी
त्रयमेकञ्च,त्रयम+एकम+च
वर्णन्तत्त्वञ्च,वर्णम+तत्त्वम+च
निर्म्माल्यमपनीयाथ,निर्म्माल्यम+अपनीय+अथ
कपालोऽजश्च,कपाल+अज+च
धर्म्मोऽप्यधर्मश्च,धर्म्म+अपि+अधर्म+च
प्रकाशोऽप्यथ,प्रकाश+अपि+अथ
लोहितश्चैव,लोहित+च+एव
कुष्माण्डश्चैव,कुष्माण्ड+च+एव
चैन्द्रमेव,च+ऐन्द्रम+एव
फडित्यनेन,फट+इति+अनेन
स्वाहेत्यनेनाथ,स्वाहा+इति+अनेन+अथ
भैरवश्चैव,भैरव+च+एव
विमलश्चाट्टहासश्च,विमल+च+अट्टहास+च
विदुरश्चैव,विदुर+च+एव
कर्णोऽप्यथ,कर्ण+अपि+अथ
पिङ्गलश्चैव,पिङ्गल+च+एव
तदनेनैव,तत+अनेन+एव
गुणोऽस्यावस्था,गुण+अस्य+अवस्था
चाप्यनेनैव,च+अपि+अनेन+एव
चाप्यस्य,च+अपि+अस्य
समुद्रश्चेति,समुद्र+च+इति
विजयश्चैव,विजय+च+एव
श्रवणश्चेति,श्रवण+च+इति
चतुरश्चतुरस्तद्वत,चतुर+चतुर+तद्वत
शिवोस्मीति,शिव+अस्मि+इति
किञ्चिदीशानमाश्रित्य,किञ्चित+ईशानम+आश्रित्य
हृदेत्युक्त्वा,हृदा+इति+उक्त्वा
आवाहनमभिव्यक्तिर्व्विसर्ग,आवाहनम+अभिव्यक्ति+विसर्ग
ततोऽन्यत्रापि,तत+अन्यत्र+अपि
कोपीह,क+अपि+इह
लिङ्गमन्यत्ततस्तत्र,लिङ्गम+अन्यत+तत+तत्र
वाप्यथवा,वा+अपि+अथवा
श्रीवत्सश्चेति,श्रीवत्स+च+इति
लक्ष्मीर्विभूतिर्विमला,लक्ष्मी+विभूति+विमला
चापत्यञ्च,च+अपत्यम+च
अग्नीध्रश्चाग्निबाहुश्च,अग्नीध्र+च+अग्निबाहु+च
पृथुश्चैव,पृथु+च+एव
पुष्करश्चेति,पुष्कर+च+इति
निषधश्चास्य,निषध+च+अस्य
कुरवश्वैव,कुरव+च+एव
चत्वारश्चात्र,चत्वार+च+अत्र
सुपार्श्वश्चोत्तरे,सुपार्श्व+च+उत्तरे
तथैवालकनन्दापि,तथा+एव+अलकनन्दा+अपि
रुधिरश्चैव,रुधिर+च+एव
सान्निध्यमत्रैव,सान्निध्यम+अत्र+एव
कफश्चेति,कफ+च+इति
मन्दश्चाग्नि,मन्द+च+अग्नि
सम्यग्योगश्च,सम्यक+योग+च
रजस्तमश्च,रज+तम+च
आयुरारोग्यमैश्वर्य,आयु+आरोग्यम+ऐश्वर्य
तस्मादादानमाग्नेयम,तस्मात+आदानम+आग्नेयम
तत्श्चानेकधा,तत+च+अनेकधा
चाप्यनु,च+अपि+अनु
फलमप्येव,फलम+अपि+एव
केश्यमक्षमीषञ्च,केश्यम+अक्षम+ईषत+च
नित्यमागारमिव,नित्यम+आगारम+इव
किञ्चिदेवात्र,किञ्चित+एव+अत्र
तिरश्चोऽपि,तिर+च+अपि
चरकस्त्वाह,चरक+तु+आह
तेनान्वर्थेति,तेन+अन्वर्था+इति
मधुरमम्लोऽम्ल,मधुरम+अम्ल+अम्ल
स्वादुर्गुरुश्च,स्वादु+गुरु+च
मधुरस्तद्वदेव,मधुर+तद्वत+एव
कषायस्तस्माच्च,कषाय+तस्मात+च
कटुस्तस्मात्तस्मादपि,कटु+तस्मात+तस्मात+अपि
स्वादुश्चतुरोऽम्ल,स्वादु+चतुर+अम्ल
विंशतिरेकमेव,विंशति+एकम+एव
तद्वन्मेदस्तथा,तद्वत+मेद+तथा
अतियोगोऽतिवृत्तिस्तु,अतियोग+अतिवृत्ति+तु
श्यावोऽरुणोऽपि,श्याव+अरुण+अपि
स्यात्ततश्च,स्यात+तत+च
दिनमन्यच्च,दिनम+अन्यत+च
स्याच्छनैर्मृदित,स्यात+शनै+मृदित
भैषज्यमिदमस्तु,भैषज्यम+इदम+अस्तु
भैषज्यमविरेच्यैव,भैषज्यम+अविरेच्य+एव
दोषश्चतुर्थोऽस्ति,दोष+चतुर्थ+अस्ति
